member_category,org_name,sourcewatch_page_url,sourcewatch_page_title,sourcewatch_redlink,as_of,source_page,raw_text
associate,Liberty Justice Center,https://www.sourcewatch.org/index.php?title=Liberty_Justice_Center,Liberty Justice Center,False,June 2024,SPN Members - SourceWatch.html,Liberty Justice Center
associate,Louisiana Family Forum,https://www.sourcewatch.org/index.php?title=Louisiana_Family_Forum,Louisiana Family Forum,False,June 2024,SPN Members - SourceWatch.html,Louisiana Family Forum
associate,Lucy Burns Institute,https://www.sourcewatch.org/index.php?title=Lucy_Burns_Institute,Lucy Burns Institute,False,June 2024,SPN Members - SourceWatch.html,Lucy Burns Institute
associate,Manhattan Institute for Policy Research,https://www.sourcewatch.org/index.php?title=Manhattan_Institute_for_Policy_Research,Manhattan Institute for Policy Research,False,June 2024,SPN Members - SourceWatch.html,Manhattan Institute for Policy Research
associate,Massachusetts Fiscal Alliance,https://www.sourcewatch.org/index.php?title=Massachusetts_Fiscal_Alliance&action=edit&redlink=1,Massachusetts Fiscal Alliance (page does not exist),True,June 2024,SPN Members - SourceWatch.html,Massachusetts Fiscal Alliance
associate,Mercatus Center at George Mason University,https://www.sourcewatch.org/index.php?title=Mercatus_Center,Mercatus Center,False,June 2024,SPN Members - SourceWatch.html,Mercatus Center at George Mason University
associate,Middle Resolution Policy Foundation,https://www.sourcewatch.org/index.php?title=Middle_Resolution_Policy_Foundation&action=edit&redlink=1,Middle Resolution Policy Foundation (page does not exist),True,June 2024,SPN Members - SourceWatch.html,Middle Resolution Policy Foundation
associate,Mountain States Legal Foundation,https://www.sourcewatch.org/index.php?title=Mountain_States_Legal_Foundation,Mountain States Legal Foundation,False,June 2024,SPN Members - SourceWatch.html,Mountain States Legal Foundation
associate,Napa Legal,https://www.sourcewatch.org/index.php?title=Napa_Legal&action=edit&redlink=1,Napa Legal (page does not exist),True,June 2024,SPN Members - SourceWatch.html,Napa Legal
associate,National Review Institute,https://www.sourcewatch.org/index.php?title=National_Review_Institute,National Review Institute,False,June 2024,SPN Members - SourceWatch.html,National Review Institute
associate,National Right to Work Legal Defense Foundation,https://www.sourcewatch.org/index.php?title=National_Right_to_Work_Legal_Defense_Foundation,National Right to Work Legal Defense Foundation,False,June 2024,SPN Members - SourceWatch.html,National Right to Work Legal Defense Foundation
associate,National School Choice Awareness Foundation,https://www.sourcewatch.org/index.php?title=National_School_Choice_Awareness_Foundation&action=edit&redlink=1,National School Choice Awareness Foundation (page does not exist),True,June 2024,SPN Members - SourceWatch.html,National School Choice Awareness Foundation
associate,National Taxpayers Union Foundation,https://www.sourcewatch.org/index.php?title=National_Taxpayers_Union_Foundation,National Taxpayers Union Foundation,False,June 2024,SPN Members - SourceWatch.html,National Taxpayers Union Foundation
associate,New Civil Liberties Alliance,https://www.sourcewatch.org/index.php?title=New_Civil_Liberties_Alliance,New Civil Liberties Alliance,False,June 2024,SPN Members - SourceWatch.html,New Civil Liberties Alliance
associate,Pacific Legal Foundation,https://www.sourcewatch.org/index.php?title=Pacific_Legal_Foundation,Pacific Legal Foundation,False,June 2024,SPN Members - SourceWatch.html,Pacific Legal Foundation
associate,People United for Privacy,https://www.sourcewatch.org/index.php?title=People_United_for_Privacy,People United for Privacy,False,June 2024,SPN Members - SourceWatch.html,People United for Privacy
associate,Philanthropy Roundtable,https://www.sourcewatch.org/index.php?title=Philanthropy_Roundtable,Philanthropy Roundtable,False,June 2024,SPN Members - SourceWatch.html,Philanthropy Roundtable
associate,Prison Fellowship,https://www.sourcewatch.org/index.php?title=Prison_Fellowship,Prison Fellowship,False,June 2024,SPN Members - SourceWatch.html,Prison Fellowship
associate,Project 42,https://www.sourcewatch.org/index.php?title=Project_42&action=edit&redlink=1,Project 42 (page does not exist),True,June 2024,SPN Members - SourceWatch.html,Project 42
associate,Property & Environment Research Center,https://www.sourcewatch.org/index.php?title=Property_%26_Environment_Research_Center,Property & Environment Research Center,False,June 2024,SPN Members - SourceWatch.html,Property & Environment Research Center
associate,R Street Institute,https://www.sourcewatch.org/index.php?title=R_Street_Institute,R Street Institute,False,June 2024,SPN Members - SourceWatch.html,R Street Institute
associate,Reason Foundation,https://www.sourcewatch.org/index.php?title=Reason_Foundation,Reason Foundation,False,June 2024,SPN Members - SourceWatch.html,Reason Foundation
associate,School Choice Wisconsin,https://www.sourcewatch.org/index.php?title=School_Choice_Wisconsin,School Choice Wisconsin,False,June 2024,SPN Members - SourceWatch.html,School Choice Wisconsin
associate,Southeastern Legal Foundation,https://www.sourcewatch.org/index.php?title=Southeastern_Legal_Foundation,Southeastern Legal Foundation,False,June 2024,SPN Members - SourceWatch.html,Southeastern Legal Foundation
associate,Speech First,https://www.sourcewatch.org/index.php?title=Speech_First,Speech First,False,June 2024,SPN Members - SourceWatch.html,Speech First
associate,Stand Together Trust,https://www.sourcewatch.org/index.php?title=Stand_Together_Trust,Stand Together Trust,False,June 2024,SPN Members - SourceWatch.html,Stand Together Trust
associate,Steamboat Institute,https://www.sourcewatch.org/index.php?title=Steamboat_Institute,Steamboat Institute,False,June 2024,SPN Members - SourceWatch.html,Steamboat Institute
associate,Students for Liberty,https://www.sourcewatch.org/index.php?title=Students_for_Liberty,Students for Liberty,False,June 2024,SPN Members - SourceWatch.html,Students for Liberty
associate,Tax Foundation,https://www.sourcewatch.org/index.php?title=Tax_Foundation,Tax Foundation,False,June 2024,SPN Members - SourceWatch.html,Tax Foundation
associate,The Becket Fund for Religious Liberty,https://www.sourcewatch.org/index.php?title=Becket_Fund_for_Religious_Liberty,Becket Fund for Religious Liberty,False,June 2024,SPN Members - SourceWatch.html,The Becket Fund for Religious Liberty
associate,The College Fix,https://www.sourcewatch.org/index.php?title=College_Fix,College Fix,False,June 2024,SPN Members - SourceWatch.html,The College Fix
associate,The Foundation for Research on Equal Opportunity,https://www.sourcewatch.org/index.php?title=Foundation_for_Research_on_Equal_Opportunity,Foundation for Research on Equal Opportunity,False,June 2024,SPN Members - SourceWatch.html,The Foundation for Research on Equal Opportunity
associate,The Fund for American Studies,https://www.sourcewatch.org/index.php?title=Fund_for_American_Studies,Fund for American Studies,False,June 2024,SPN Members - SourceWatch.html,The Fund for American Studies
associate,The James G. Martin Center for Academic Renewal,https://www.sourcewatch.org/index.php?title=James_G._Martin_Center_for_Academic_Renewal,James G. Martin Center for Academic Renewal,False,June 2024,SPN Members - SourceWatch.html,The James G. Martin Center for Academic Renewal
associate,The Policy Circle,https://www.sourcewatch.org/index.php?title=Policy_Circle,Policy Circle,False,June 2024,SPN Members - SourceWatch.html,The Policy Circle
associate,True Charity,https://www.sourcewatch.org/index.php?title=True_Charity&action=edit&redlink=1,True Charity (page does not exist),True,June 2024,SPN Members - SourceWatch.html,True Charity
associate,Upper Midwest Law Center,https://www.sourcewatch.org/index.php?title=Upper_Midwest_Law_Center&action=edit&redlink=1,Upper Midwest Law Center (page does not exist),True,June 2024,SPN Members - SourceWatch.html,Upper Midwest Law Center
associate,Young America's Foundation,https://www.sourcewatch.org/index.php?title=Young_America%27s_Foundation,Young America's Foundation,False,June 2024,SPN Members - SourceWatch.html,Young America's Foundation
associate,Young Voices,https://www.sourcewatch.org/index.php?title=Young_Voices,Young Voices,False,June 2024,SPN Members - SourceWatch.html,Young Voices
