member_category,state,org_name,org_name_raw,notes,website,phone,sourcewatch_page_url,sourcewatch_page_title,as_of,source_page,raw_text
affiliate,Idaho,Idaho Freedom Foundation,Idaho Freedom Foundation,,http://idahofreedom.org,208-258-2280,https://www.sourcewatch.org/index.php?title=Idaho_Freedom_Foundation,Idaho Freedom Foundation,June 2024,SPN Members - SourceWatch.html,Idaho | Idaho Freedom Foundation | http://idahofreedom.org | 208-258-2280
affiliate,Mountain States Policy Center,Mountain States Policy Center,https://www.mountainstatespolicy.org/,,https://www.mountainstatespolicy.org/,208-295-9525,https://www.sourcewatch.org/index.php?title=Mountain_States_Policy_Center,Mountain States Policy Center,June 2024,SPN Members - SourceWatch.html,Mountain States Policy Center | https://www.mountainstatespolicy.org/ | 208-295-9525
affiliate,Illinois,Illinois Policy Institute,Illinois Policy Institute,,https://www.illinoispolicy.org,312-346-5700,https://www.sourcewatch.org/index.php?title=Illinois_Policy_Institute,Illinois Policy Institute,June 2024,SPN Members - SourceWatch.html,Illinois | Illinois Policy Institute | https://www.illinoispolicy.org | 312-346-5700
affiliate,Indiana,Indiana Policy Review Foundation,Indiana Policy Review Foundation,,http://www.inpolicy.org,260-417-4094,https://www.sourcewatch.org/index.php?title=Indiana_Policy_Review_Foundation,Indiana Policy Review Foundation,June 2024,SPN Members - SourceWatch.html,Indiana | Indiana Policy Review Foundation | http://www.inpolicy.org | 260-417-4094
affiliate,Iowa,Iowans for Tax Relief Foundation,Iowans for Tax Relief Foundation,,https://itrfoundation.org,563-264-8080,https://www.sourcewatch.org/index.php?title=Iowans_for_Tax_Relief_Foundation,Iowans for Tax Relief Foundation,June 2024,SPN Members - SourceWatch.html,Iowa | Iowans for Tax Relief Foundation | https://itrfoundation.org | 563-264-8080
affiliate,Kansas,Kansas Policy Institute,Kansas Policy Institute,(formerly the Flint Hills Center for Public Policy),http://www.kansaspolicy.org,316-634-0218,https://www.sourcewatch.org/index.php?title=Kansas_Policy_Institute,Kansas Policy Institute,June 2024,SPN Members - SourceWatch.html,Kansas | Kansas Policy Institute | (formerly the Flint Hills Center for Public Policy) | http://www.kansaspolicy.org | 316-634-0218
affiliate,Kentucky,Bluegrass Institute for Public Policy Solutions,Bluegrass Institute for Public Policy Solutions,,http://www.bipps.org,270-782-2140,https://www.sourcewatch.org/index.php?title=Bluegrass_Institute_for_Public_Policy_Solutions,Bluegrass Institute for Public Policy Solutions,June 2024,SPN Members - SourceWatch.html,Kentucky | Bluegrass Institute for Public Policy Solutions | http://www.bipps.org | 270-782-2140
affiliate,Louisiana,Pelican Institute for Public Policy,Pelican Institute for Public Policy,pelicaninstitute.org,,504-267-9404,https://www.sourcewatch.org/index.php?title=Pelican_Institute,Pelican Institute,June 2024,SPN Members - SourceWatch.html,Louisiana | Pelican Institute for Public Policy | pelicaninstitute.org | 504-267-9404
affiliate,Maine,Maine Policy Institute,Maine Policy Institute,,http://www.mainepolicy.org,207-321-2550,https://www.sourcewatch.org/index.php?title=Maine_Policy_Institute,Maine Policy Institute,June 2024,SPN Members - SourceWatch.html,Maine | Maine Policy Institute | http://www.mainepolicy.org | 207-321-2550
affiliate,Massachusetts,Pioneer Institute,Pioneer Institute,,http://www.pioneerinstitute.org,617-723-2277,https://www.sourcewatch.org/index.php?title=Pioneer_Institute,Pioneer Institute,June 2024,SPN Members - SourceWatch.html,Massachusetts | Pioneer Institute | http://www.pioneerinstitute.org | 617-723-2277
affiliate,Michigan,Mackinac Center for Public Policy,Mackinac Center for Public Policy,,http://www.mackinac.org,989-631-0900,https://www.sourcewatch.org/index.php?title=Mackinac_Center_for_Public_Policy,Mackinac Center for Public Policy,June 2024,SPN Members - SourceWatch.html,Michigan | Mackinac Center for Public Policy | http://www.mackinac.org | 989-631-0900
affiliate,Minnesota,Center of the American Experiment,Center of the American Experiment,,http://www.americanexperiment.org,612-338-3605,https://www.sourcewatch.org/index.php?title=Center_of_the_American_Experiment,Center of the American Experiment,June 2024,SPN Members - SourceWatch.html,Minnesota | Center of the American Experiment | http://www.americanexperiment.org | 612-338-3605
affiliate,Freedom Foundation of Minnesota,Freedom Foundation of Minnesota,http://freedomfoundation.publishpath.com,,http://freedomfoundation.publishpath.com,612-354-2160,https://www.sourcewatch.org/index.php?title=Freedom_Foundation_of_Minnesota,Freedom Foundation of Minnesota,June 2024,SPN Members - SourceWatch.html,Freedom Foundation of Minnesota | http://freedomfoundation.publishpath.com | 612-354-2160
affiliate,Mississippi,Empower Mississippi,Empower Mississippi,,http://empowerms.org,601-980-1897,https://www.sourcewatch.org/index.php?title=Empower_Mississippi,Empower Mississippi,June 2024,SPN Members - SourceWatch.html,Mississippi | Empower Mississippi | http://empowerms.org | 601-980-1897
affiliate,Mississippi Center for Public Policy,Mississippi Center for Public Policy,http://www.mspolicy.org,,http://www.mspolicy.org,601-969-1300,https://www.sourcewatch.org/index.php?title=Mississippi_Center_for_Public_Policy,Mississippi Center for Public Policy,June 2024,SPN Members - SourceWatch.html,Mississippi Center for Public Policy | http://www.mspolicy.org | 601-969-1300
affiliate,Missouri,Show-Me Institute,Show-Me Institute,,http://www.showmeinstitute.org,314-454-0647,https://www.sourcewatch.org/index.php?title=Show-Me_Institute,Show-Me Institute,June 2024,SPN Members - SourceWatch.html,Missouri | Show-Me Institute | http://www.showmeinstitute.org | 314-454-0647
affiliate,Montana,Frontier Institute,Frontier Institute,,https://frontierinstitute.org,,https://www.sourcewatch.org/index.php?title=Frontier_Institute,Frontier Institute,June 2024,SPN Members - SourceWatch.html,Montana | Frontier Institute | https://frontierinstitute.org
affiliate,Nebraska,Platte Institute for Economic Research,Platte Institute for Economic Research,,http://www.platteinstitute.org,402-452-3737,https://www.sourcewatch.org/index.php?title=Platte_Institute_for_Economic_Research,Platte Institute for Economic Research,June 2024,SPN Members - SourceWatch.html,Nebraska | Platte Institute for Economic Research | http://www.platteinstitute.org | 402-452-3737
affiliate,Nevada,Nevada Policy Research Institute,Nevada Policy Research Institute,,http://www.npri.org,702-222-0642,https://www.sourcewatch.org/index.php?title=Nevada_Policy_Research_Institute,Nevada Policy Research Institute,June 2024,SPN Members - SourceWatch.html,Nevada | Nevada Policy Research Institute | http://www.npri.org | 702-222-0642
affiliate,New Hampshire,Josiah Bartlett Center for Public Policy,Josiah Bartlett Center for Public Policy,,http://www.jbartlett.org,603-224-4450,https://www.sourcewatch.org/index.php?title=Josiah_Bartlett_Center_for_Public_Policy,Josiah Bartlett Center for Public Policy,June 2024,SPN Members - SourceWatch.html,New Hampshire | Josiah Bartlett Center for Public Policy | http://www.jbartlett.org | 603-224-4450
affiliate,New Jersey,Garden State Initiative,Garden State Initiative,,http://gardenstateinitiative.org/,908-400-9688,https://www.sourcewatch.org/index.php?title=Garden_State_Initiative,Garden State Initiative,June 2024,SPN Members - SourceWatch.html,New Jersey | Garden State Initiative | http://gardenstateinitiative.org/ | 908-400-9688
affiliate,New Mexico,Rio Grande Foundation,Rio Grande Foundation,,http://www.riograndefoundation.org,505-264-6090,https://www.sourcewatch.org/index.php?title=Rio_Grande_Foundation,Rio Grande Foundation,June 2024,SPN Members - SourceWatch.html,New Mexico | Rio Grande Foundation | http://www.riograndefoundation.org | 505-264-6090
affiliate,New York,Empire Center for Public Policy,Empire Center for Public Policy,,http://www.empirecenter.org,518-434-3100,https://www.sourcewatch.org/index.php?title=Empire_Center_for_Public_Policy,Empire Center for Public Policy,June 2024,SPN Members - SourceWatch.html,New York | Empire Center for Public Policy | http://www.empirecenter.org | 518-434-3100
affiliate,North Carolina,John Locke Foundation,John Locke Foundation,,http://www.johnlocke.org,919-828-3876,https://www.sourcewatch.org/index.php?title=John_Locke_Foundation,John Locke Foundation,June 2024,SPN Members - SourceWatch.html,North Carolina | John Locke Foundation | http://www.johnlocke.org | 919-828-3876
affiliate,North Dakota,Roughrider Policy Center,Roughrider Policy Center,,https://www.roughriderpolicy.org,701-354-3934,https://www.sourcewatch.org/index.php?title=Roughrider_Policy_Center,Roughrider Policy Center,June 2024,SPN Members - SourceWatch.html,North Dakota | Roughrider Policy Center | https://www.roughriderpolicy.org | 701-354-3934
affiliate,Ohio,The Buckeye Institute,The Buckeye Institute,,http://www.BuckeyeInstitute.org,614-224-4422,https://www.sourcewatch.org/index.php?title=The_Buckeye_Institute,The Buckeye Institute,June 2024,SPN Members - SourceWatch.html,Ohio | The Buckeye Institute | http://www.BuckeyeInstitute.org | 614-224-4422
affiliate,Oklahoma,Oklahoma Council of Public Affairs,Oklahoma Council of Public Affairs,,http://www.ocpathink.org,405-602-1667,https://www.sourcewatch.org/index.php?title=Oklahoma_Council_of_Public_Affairs,Oklahoma Council of Public Affairs,June 2024,SPN Members - SourceWatch.html,Oklahoma | Oklahoma Council of Public Affairs | http://www.ocpathink.org | 405-602-1667
affiliate,Oregon,Cascade Policy Institute,Cascade Policy Institute,,http://www.CascadePolicy.org,503-242-0900,https://www.sourcewatch.org/index.php?title=Cascade_Policy_Institute,Cascade Policy Institute,June 2024,SPN Members - SourceWatch.html,Oregon | Cascade Policy Institute | http://www.CascadePolicy.org | 503-242-0900
affiliate,Pennsylvania,Commonwealth Foundation,Commonwealth Foundation,,http://www.commonwealthfoundation.org,717-671-1901,https://www.sourcewatch.org/index.php?title=Commonwealth_Foundation,Commonwealth Foundation,June 2024,SPN Members - SourceWatch.html,Pennsylvania | Commonwealth Foundation | http://www.commonwealthfoundation.org | 717-671-1901
affiliate,Rhode Island,Rhode Island Center for Freedom and Prosperity,Rhode Island Center for Freedom and Prosperity,,http://www.rifreedom.org,401-429-6115,https://www.sourcewatch.org/index.php?title=Rhode_Island_Center_for_Freedom_and_Prosperity,Rhode Island Center for Freedom and Prosperity,June 2024,SPN Members - SourceWatch.html,Rhode Island | Rhode Island Center for Freedom and Prosperity | http://www.rifreedom.org | 401-429-6115
affiliate,South Carolina,Palmetto Promise Institute,Palmetto Promise Institute,,https://palmettopromise.org,803-708-0673,https://www.sourcewatch.org/index.php?title=Palmetto_Promise_Institute,Palmetto Promise Institute,June 2024,SPN Members - SourceWatch.html,South Carolina | Palmetto Promise Institute | https://palmettopromise.org | 803-708-0673
affiliate,South Carolina Policy Council,South Carolina Policy Council,http://scpolicycouncil.org,,http://scpolicycouncil.org,803-779-5022,https://www.sourcewatch.org/index.php?title=South_Carolina_Policy_Council,South Carolina Policy Council,June 2024,SPN Members - SourceWatch.html,South Carolina Policy Council | http://scpolicycouncil.org | 803-779-5022
affiliate,South Dakota,Great Plains Public Policy Institute,Great Plains Public Policy Institute,greatplainsppi.org,,605-334-9400,https://www.sourcewatch.org/index.php?title=Great_Plains_Public_Policy_Institute,Great Plains Public Policy Institute,June 2024,SPN Members - SourceWatch.html,South Dakota | Great Plains Public Policy Institute | greatplainsppi.org | 605-334-9400
affiliate,Tennessee,Beacon Center of Tennessee,Beacon Center of Tennessee,,http://www.beacontn.org,615-383-6431,https://www.sourcewatch.org/index.php?title=Beacon_Center_of_Tennessee,Beacon Center of Tennessee,June 2024,SPN Members - SourceWatch.html,Tennessee | Beacon Center of Tennessee | http://www.beacontn.org | 615-383-6431
affiliate,Texas,Texas Public Policy Foundation,Texas Public Policy Foundation,,http://www.texaspolicy.com,512-472-2700,https://www.sourcewatch.org/index.php?title=Texas_Public_Policy_Foundation,Texas Public Policy Foundation,June 2024,SPN Members - SourceWatch.html,Texas | Texas Public Policy Foundation | http://www.texaspolicy.com | 512-472-2700
affiliate,Utah,Libertas Institute,Libertas Institute,,http://libertasutah.org,801-901-0310,https://www.sourcewatch.org/index.php?title=Libertas_Institute,Libertas Institute,June 2024,SPN Members - SourceWatch.html,Utah | Libertas Institute | http://libertasutah.org | 801-901-0310
affiliate,Sutherland Institute,Sutherland Institute,http://www.sutherlandinstitute.org,,http://www.sutherlandinstitute.org,801-355-1272,https://www.sourcewatch.org/index.php?title=Sutherland_Institute,Sutherland Institute,June 2024,SPN Members - SourceWatch.html,Sutherland Institute | http://www.sutherlandinstitute.org | 801-355-1272
affiliate,Virginia,Thomas Jefferson Institute,Thomas Jefferson Institute,,http://www.thomasjeffersoninst.org,703-440-9447,https://www.sourcewatch.org/index.php?title=Thomas_Jefferson_Institute,Thomas Jefferson Institute,June 2024,SPN Members - SourceWatch.html,Virginia | Thomas Jefferson Institute | http://www.thomasjeffersoninst.org | 703-440-9447
affiliate,Virginia Institute for Public Policy,Virginia Institute for Public Policy,http://www.virginiainstitute.org,,http://www.virginiainstitute.org,540-245-1776,https://www.sourcewatch.org/index.php?title=Virginia_Institute_for_Public_Policy,Virginia Institute for Public Policy,June 2024,SPN Members - SourceWatch.html,Virginia Institute for Public Policy | http://www.virginiainstitute.org | 540-245-1776
affiliate,Washington,Freedom Foundation,Freedom Foundation,,http://www.freedomfoundation.com,360-956-3482,https://www.sourcewatch.org/index.php?title=Freedom_Foundation,Freedom Foundation,June 2024,SPN Members - SourceWatch.html,Washington | Freedom Foundation | http://www.freedomfoundation.com | 360-956-3482
affiliate,Washington Policy Center,Washington Policy Center,http://www.washingtonpolicy.org,,http://www.washingtonpolicy.org,360-705-6543,https://www.sourcewatch.org/index.php?title=Washington_Policy_Center,Washington Policy Center,June 2024,SPN Members - SourceWatch.html,Washington Policy Center | http://www.washingtonpolicy.org | 360-705-6543
affiliate,West Virginia,Cardinal Institute,Cardinal Institute,,http://www.cardinalinstitute.com,304-561-7634,https://www.sourcewatch.org/index.php?title=Cardinal_Institute,Cardinal Institute,June 2024,SPN Members - SourceWatch.html,West Virginia | Cardinal Institute | http://www.cardinalinstitute.com | 304-561-7634
affiliate,Wisconsin,Badger Institute,Badger Institute,,http://www.badgerinstitute.org,414-225-9940,https://www.sourcewatch.org/index.php?title=Badger_Institute,Badger Institute,June 2024,SPN Members - SourceWatch.html,Wisconsin | Badger Institute | http://www.badgerinstitute.org | 414-225-9940
affiliate,Institute for Reforming Government,Institute for Reforming Government,https://www.reforminggovernment.org,,https://www.reforminggovernment.org,608-441-5007,https://www.sourcewatch.org/index.php?title=Institute_for_Reforming_Government,Institute for Reforming Government,June 2024,SPN Members - SourceWatch.html,Institute for Reforming Government | https://www.reforminggovernment.org | 608-441-5007
affiliate,MacIver Institute,MacIver Institute,for Public Policy,,http://www.maciverinstitute.com,608-237-7290,https://www.sourcewatch.org/index.php?title=MacIver_Institute,MacIver Institute,June 2024,SPN Members - SourceWatch.html,MacIver Institute | for Public Policy | http://www.maciverinstitute.com | 608-237-7290
affiliate,Wisconsin Institute for Law & Liberty,Wisconsin Institute for Law & Liberty,http://www.will-law.org,,http://www.will-law.org,414-727-9455,https://www.sourcewatch.org/index.php?title=Wisconsin_Institute_for_Law_%26_Liberty,Wisconsin Institute for Law & Liberty,June 2024,SPN Members - SourceWatch.html,Wisconsin Institute for Law & Liberty | http://www.will-law.org | 414-727-9455
affiliate,Wyoming,Wyoming Liberty Group,Wyoming Liberty Group,,http://www.wyliberty.org,307-632-7020,https://www.sourcewatch.org/index.php?title=Wyoming_Liberty_Group,Wyoming Liberty Group,June 2024,SPN Members - SourceWatch.html,Wyoming | Wyoming Liberty Group | http://www.wyliberty.org | 307-632-7020
