"Notice
Date","Received
Date","Effective
Date",Company,County,No. Of Employees,Layoff/Closure Type,Address
07/06/2021,07/06/2021,09/04/2021,"Chick-fil-A, Inc.",San Bernardino County,110,Closure Temporary,"4350 Ontario Mills Parkway Ontario CA
91764"
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,San Bernardino County,1,Layoff Permanent,"MCAGCC Bldg 1431 Twentynine Palms CA
92277"
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,San Diego County,10,Layoff Permanent,140 Sylvester Rd. San Diego CA 92106
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,San Diego County,17,Layoff Permanent,1482 Read Rd. San Diego CA 92135
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,San Diego County,7,Layoff Permanent,3380 Sturtevant Rd. San Diego CA 92136
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,San Diego County,2,Layoff Permanent,3970 Sherman St. San Diego CA 92110
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,San Diego County,3,Layoff Permanent,4301 Pacific Hwy San Diego CA 92110
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,San Diego County,2,Layoff Permanent,6012 SHields Dr. San Diego CA 92145
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,San Diego County,3,Layoff Permanent,937 N. Harbor Dr. San Diego CA 92132
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,San Diego County,7,Layoff Permanent,"Camp Pendleton - MCB Bldg 2622 Camp
Pendelton CA 92055"
07/06/2021,07/06/2021,07/30/2021,Perspecta Inc. dba Peraton Inc.,San Diego County,1,Layoff Permanent,140 Sylvester Rd. San Diego CA 92106
07/06/2021,07/06/2021,07/30/2021,Perspecta Inc. dba Peraton Inc.,San Diego County,34,Layoff Permanent,1482 Read Rd. San Diego CA 92135
07/06/2021,07/06/2021,07/30/2021,Perspecta Inc. dba Peraton Inc.,San Diego County,107,Layoff Permanent,3970 Sherman St. San Diego CA 92110
07/06/2021,07/06/2021,08/27/2021,Perspecta Inc. dba Peraton Inc.,San Diego County,5,Layoff Permanent,3970 Sherman St. San Diego CA 92110
07/06/2021,07/06/2021,09/30/2021,Perpsecta Inc. dba Peraton Inc.,San Diego County,5,Layoff Permanent,3970 Sherman St. San Diego CA 92110
07/06/2021,07/06/2021,07/30/2021,Perspecta Inc. dba Peraton Inc.,Ventura County,1,Layoff Permanent,"13yj St. Bldg 50 Rm 139 Port Magu NAWC
CA 93042"
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,Ventura County,2,Layoff Permanent,Pacific Rd. Bdlg 5 Port Hueneme CA 93041
07/07/2021,07/08/2021,09/07/2021,Bethesda Lutheran Communities,Kern County,1,Closure Permanent,"9613 Lake Superior Drive Bakersfield CA
93312"
07/07/2021,07/08/2021,09/07/2021,Bethesda Lutheran Communities,Kern County,1,Closure Permanent,5704 Charleville Lane Bakersfield CA 93312
07/08/2021,07/08/2021,09/25/2021,"Southern California Egg Cooperative Inc. dba Norco
Ranch",San Bernardino County,21,Closure Permanent,12005 Cabernet Drive Fontana CA 92337
07/08/2021,07/08/2021,09/06/2021,John Hine Pontiac dba John Hine Mazda,San Diego County,94,Closure Permanent,"1545 Camino del Rio South San Diego CA
92108"
07/08/2021,07/13/2021,09/04/2021,Kaiser Foundation Hospitals,Alameda County,11,Layoff Permanent,2101 Webster Street Oakland CA 94612
07/08/2021,07/13/2021,09/04/2021,Kaiser Foundation Hospitals,Alameda County,5,Layoff Permanent,Ordway Oakland CA 94612
07/12/2021,07/13/2021,09/12/2021,"Crothall Healthcare Inc. operation at Enloe Medical
Center",Butte County,125,Closure Permanent,1531 Esplanade Chico CA 95926
07/08/2021,07/13/2021,09/04/2021,Kaiser Foundation Hospitals,Contra Costa County,1,Layoff Permanent,501 Lennon Lane Walnut Creek CA 94598
07/10/2021,07/13/2021,09/06/2021,Fantasy Activewear Inc.,Los Angeles County,1,Closure Permanent,5383 Alcoa Ave Vernon CA 90058
07/10/2021,07/13/2021,09/06/2021,Fantasy Dyeing & Finishing Inc.,Los Angeles County,1,Closure Permanent,5389 Alcoa Ave. Vernon CA 90058
07/12/2021,07/13/2021,11/30/2021,L&R Distributors,San Bernardino County,75,Closure Permanent,"9292 Ninth Street Rancho Cucamonga CA
91730"
07/13/2021,07/15/2021,09/11/2021,Gallo Sales Company Inc.,Alameda County,90,Layoff Permanent,30825 Wiegman Road Hayward CA 94544
07/13/2021,07/15/2021,10/01/2021,Gallo Sales Company Inc.,Alameda County,1,Layoff Permanent,30825 Wiegman Road Hayward CA 94544
07/13/2021,07/15/2021,09/11/2021,Gallo Sales Company Inc.,Los Angeles County,137,Layoff Permanent,2650 Commerce Way Commerce CA 90040
07/13/2021,07/15/2021,10/01/2021,Gallo Sales Company Inc.,Los Angeles County,1,Layoff Permanent,2650 Commerce Way Commerce CA 90040
07/13/2021,07/15/2021,12/31/2021,Gallo Sales Company Inc.,Los Angeles County,1,Layoff Permanent,2650 Commerce Way Commerce CA 90040
07/14/2021,07/15/2021,09/13/2021,Location Services LLC,Monterey County,3,Closure Temporary,"20790 Spence Rd. Suite 1 Salinas CA
93908"
07/14/2021,07/15/2021,09/13/2021,Location Services LLC,San Diego County,2,Closure Temporary,811 Energy Way #D Chula Vista CA 91911
07/15/2021,07/15/2021,09/30/2021,Morrison Management Specialists Inc.,San Mateo County,84,Closure Permanent,1 Baldwin Avenue San Mateo CA 94401
07/20/2021,07/22/2021,07/15/2021,Island Creek Associates LLC at NAS China Lake,Kern County,11,Layoff Permanent,"BLDG 20001 RM 1207 Admin Cir MS1016
Ridgecrest CA 93555"
07/20/2021,07/22/2021,07/15/2021,Island Creek Associates LLC at NAS Lemoore,Kings County,26,Layoff Permanent,"210 Reeves Blvd Hangar 1 VFA 122
Lemoore CA 93246"
07/20/2021,07/22/2021,08/31/2021,Westfall Technik,Riverside County,28,Closure Permanent,235 Citation Circle Corona CA 92880
07/20/2021,07/22/2021,07/15/2021,Island Creek Associates LLC at NAS North Island,San Diego County,8,Layoff Permanent,"P.O. Box 357051, NASNI San Diego CA
92135"
07/20/2021,07/22/2021,07/15/2021,Island Creek Associates LLC at NAS North Island,San Diego County,21,Layoff Permanent,"P.O. Box 357126 Building 1474 San Diego
CA 92135"
07/19/2021,07/22/2021,09/17/2021,BBVA Open Platform,San Francisco County,4,Closure Permanent,201 Mission Street San Francisco CA 94105
07/14/2021,07/29/2021,11/30/2021,Rich Products Corporation,Fresno County,111,Closure Permanent,320 O St. Fresno CA 93728
03/27/2020,07/29/2021,03/27/2020,Fantasy Activewear Inc.,Los Angeles County,64,Layoff Permanent,5383 Alcoa Ave. Vernon CA 90058
07/28/2021,07/29/2021,10/01/2021,Sky Chefs Inc.,Los Angeles County,294,Layoff Permanent,"6901 Imperial Highway Los Angeles CA
90045"
07/27/2021,07/29/2021,09/27/2021,Los Angeles Times Communications LLC,Los Angeles County,1,Closure Permanent,5091 4th Street Irwindale CA 91706
07/28/2021,07/29/2021,10/01/2021,Sky Chefs Inc.,Orange County,72,Layoff Permanent,2990-B Airway Ave. Costa Mesa CA 92626
07/09/2021,07/29/2021,07/09/2021,"SSD Operating Co. LLC dba Sheraton San Diego Hotel
& Marina",San Diego County,21,Layoff Temporary,"1380 Harbor Island Drive San Diego CA
92101"
07/29/2021,07/29/2021,09/27/2021,Radius Aerospace,San Diego County,84,Closure Permanent,203 N. Johnson Ave. El Cajon CA 92020
07/28/2021,07/29/2021,10/01/2021,Sky Chefs Inc.,San Mateo County,210,Layoff Permanent,868 Cowan Rd. Burlingame CA 94010
07/30/2021,08/06/2021,09/28/2021,Amazon Logistics - DLA3,Los Angeles County,161,Closure Permanent,5289 Smithway St. Los Angeles CA 90040
07/30/2021,08/06/2021,09/28/2021,Amazon Logistics,Los Angeles County,161,Closure Permanent,"5289 Smithway Street Los Angeles CA
90040"
07/31/2021,08/06/2021,10/22/2021,"Mirion Technologies, Inc.",Orange County,57,Closure Permanent,2652 McGaw Avenue Irvine CA 92614
07/30/2021,08/06/2021,09/30/2021,Panasonic Avionics,Orange County,221,Layoff Permanent,"26220 Enterprise Way Lake Forest CA
92630"
07/29/2021,08/06/2021,09/30/2021,Loma Linda University Health Care,San Bernardino County,81,Layoff Permanent,"11370 Anderson Street Loma Linda CA
92354"
08/06/2021,08/06/2021,10/14/2021,"CMC Steel Fabricators, Inc. dba CMC Rebar",San Bernardino County,36,Closure Permanent,"12451 Arrow Route Rancho Cucamonga
CA 91739"
07/09/2021,08/06/2021,10/02/2021,"Louis Vuitton USA, Inc.",San Diego County,8,Closure Permanent,7027 Friars Road San Diego CA 92108
07/29/2021,08/06/2021,09/30/2021,"Bristol-Meyers Squibb and MyoKardia, Inc.",San Mateo County,4,Layoff Permanent,1000 Sierra Point Pkwy. Brisbane CA 94005
08/01/2021,08/06/2021,10/01/2021,Flying Food Group,San Mateo County,119,Layoff Permanent,"240 Littlefield Ave South San Francisco CA
94080"
08/06/2021,08/06/2021,10/05/2021,Novo Technologies,Stanislaus County,68,Layoff Temporary,"5933 Stoddard Road, Building 11 Modesto
CA 95356"
08/09/2021,08/10/2021,10/29/2021,S&C Electric Company,Alameda County,31,Closure Permanent,"1125-1135 Atlantic Avenue Alameda CA
94501"
06/10/2021,08/10/2021,07/14/2021,Apollo Couriers Inc.,Los Angeles County,42,Closure Permanent,20730 Prairie Street Chatsworth CA 91311
06/10/2021,08/10/2021,07/14/2021,Apollo Couriers Inc.,Los Angeles County,49,Closure Permanent,"2815 W. El Segundo Blvd. Hawthorne CA
90250"
07/30/2021,08/10/2021,10/01/2021,Flying Food Group,Los Angeles County,70,Layoff Permanent,901 W. Hillcrest Blvd. Inglewood CA 90301
06/10/2021,08/10/2021,07/14/2021,Apollo Couriers Inc.,Orange County,35,Closure Permanent,"17871 Von Karman Avenue Irvine CA
92614"
07/30/2021,08/10/2021,10/01/2021,CoorsTek Vista Inc.,San Diego County,39,Closure Permanent,2065 Thibodo Road Vista CA 92081
08/10/2021,08/10/2021,09/30/2021,Organogenesis Inc.,San Diego County,71,Closure Permanent,"10931 North Torrey Pines Rd. La Jolla CA
92037"
08/11/2021,08/17/2021,10/11/2021,Peloton Interactive Inc.,Contra Costa County,123,Layoff Permanent,"2500 Atlas Road Suite C Richmond CA
94806"
08/17/2021,08/17/2021,10/19/2021,"Primeritus Financial Services Inc. and Repo
Remarketing Inc.",El Dorado County,78,Closure Permanent,"4950 Hillsdale Circle El Dorado Hills CA
95762"
08/04/2021,08/17/2021,10/04/2021,Location Services LLC,Kern County,2,Layoff Permanent,754 Angus Ln. Bakersfield CA 93308
08/16/2021,08/17/2021,10/15/2021,"Truck Accessories Group LLC and Customer Fiberglass
Manufacturing Co. dba SNUGTOP",Los Angeles County,123,Closure Permanent,1711 Harbor Ave. Long Beach CA 90813
08/11/2021,08/17/2021,10/10/2021,"California Health and Recovery Solutions, PC",San Bernardino County,89,Layoff Permanent,10250 Rancho Road Adelanto CA 92301
08/16/2021,08/17/2021,09/25/2021,"Chick-fil-A, Inc.",San Bernardino County,110,Closure Temporary,"4350 Ontario Mills Parkway Ontario CA
91764"
08/10/2021,08/17/2021,09/30/2022,Providien LLC,San Diego County,81,Closure Permanent,"2731 Loker Avenue West Carlsbad CA
92010"
08/10/2021,08/17/2021,12/31/2022,Providien LLC,San Diego County,19,Closure Permanent,"2731 Loker Avenue West Carlsbad CA
92010"
08/02/2021,08/17/2021,10/01/2021,Jabil Inc.,San Diego County,74,Closure Permanent,505 Main Street Chula Vista CA 91911
08/03/2021,08/17/2021,10/01/2021,Nordstrom dba DT San Francisco Rack Store 473,San Francisco County,41,Closure Permanent,555 9th Street San Francisco CA 94103
08/09/2021,08/17/2021,09/30/2021,GXO,San Joaquin County,56,Closure Permanent,1909 Zephyr Street Stockton CA 95206
08/13/2021,08/17/2021,09/30/2021,Bristol-Myers Squibb and MyoKardia Inc.,San Mateo County,4,Layoff Permanent,1000 Sierra Point Pkwy Brisbane CA 94005
08/13/2021,08/17/2021,10/15/2021,Bristol-Myers Squibb and MyoKardia Inc.,San Mateo County,10,Layoff Permanent,1000 Sierra Point Pkwy Brisbane CA 94005
08/10/2021,08/17/2021,10/11/2021,Spectra Laboratories Inc. and National Medical Care Inc.,Santa Clara County,52,Closure Permanent,525 Sycamore Drive Milpitas CA 95035
08/10/2021,08/17/2021,01/03/2022,Spectra Laboratories Inc. and National Medical Care Inc.,Santa Clara County,84,Closure Permanent,525 Sycamore Drive Milpitas CA 95035
08/10/2021,08/17/2021,01/31/2022,Spectra Laboratories Inc. and National Medical Care Inc.,Santa Clara County,42,Closure Permanent,525 Sycamore Drive Milpitas CA 95035
08/12/2021,08/17/2021,04/01/2022,BANDAI NAMCO Entertainment America Inc.,Santa Clara County,90,Closure Permanent,"2051 Mission College Blvd. Santa Clara CA
95054"
08/11/2021,08/17/2021,10/31/2021,Fox Factory Inc.,Santa Cruz County,222,Closure Permanent,130 Hangar Way Watsonville CA 95076
08/02/2021,08/17/2021,11/26/2021,Smiths Interconnect Inc.,Ventura County,49,Layoff Permanent,"375 Conejo Ridge Avenue Thousand Oaks
CA 91361"
08/19/2021,08/19/2021,10/17/2021,Wells Fargo & Company,San Francisco County,5,Layoff Permanent,333 Market Street San Francisco CA 94103
08/19/2021,08/19/2021,10/17/2021,Wells Fargo & Company,San Francisco County,2,Layoff Permanent,"550 California Street San Francisco CA
94104"
07/08/2021,08/19/2021,09/10/2021,Varni Brothers Corporation,San Joaquin County,50,Closure Permanent,"1109 W. Anderson Street Stockton CA
95206"
07/08/2021,08/19/2021,09/10/2021,Varni Brothers Corporation,Stanislaus County,48,Closure Permanent,215 Hosmer Avenue Modesto CA 95351
08/23/2021,08/24/2021,10/21/2021,"Morrison Healthcare dba Morrison Management
Specialists Inc. at Kaiser Permanente Fresno Medical
Cen",Fresno County,14,Closure Permanent,7300 N. Fresno St. Fresno CA 93720
08/17/2021,08/24/2021,10/19/2021,"Basic Energy Services, Inc.",Kern County,111,Closure Permanent,1954 James Road Bakersfield CA 93308
08/17/2021,08/24/2021,10/19/2021,"Basic Energy Services, Inc.",Kern County,393,Closure Permanent,3752 Allen Road Bakersfield CA 93314
08/17/2021,08/24/2021,10/19/2021,"Basic Energy Services, Inc.",Kern County,48,Closure Permanent,"7515 Rosedale Highway Bakersfield CA
93308"
08/17/2021,08/24/2021,10/19/2021,"Basic Energy Services, Inc.",Kern County,216,Closure Permanent,"1025 Earthmover Court Bakersfield CA
93314"
08/17/2021,08/24/2021,10/19/2021,"Basic Energy Services, Inc.",Los Angeles County,98,Closure Permanent,"19431 South Sante Fe Avenue Compton
CA 90221"
08/04/2021,08/24/2021,01/01/2022,Endo Pharmaceuticals Inc.,Orange County,99,Closure Permanent,9601 Jeronimo Road Irvine CA 92618
08/04/2021,08/24/2021,01/01/2022,Endo Pharmaceuticals Inc.,Orange County,75,Closure Permanent,72 Fairbanks Irvine CA 92618
08/13/2021,08/24/2021,09/30/2021,"GEO Secure Services LLC Western Region Detention
Facility",San Diego County,298,Closure Permanent,220 West C Street San Diego CA 92101
08/13/2021,08/24/2021,09/30/2021,"Bristol-Myers Squibb and MyoKardia, Inc",San Mateo County,14,Layoff Permanent,1000 Sierra Point Pkwy Brisbane CA 94005
08/25/2021,08/26/2021,11/01/2021,Howmet Fastening Systems,Los Angeles County,75,Closure Permanent,12975 Bradley Avenue Sylmar CA 91342
08/26/2021,08/30/2021,10/25/2021,"ESL Technologies, Inc. dba Teleplan",Placer County,308,Layoff Permanent,"8875 Washington Blvd., Suite B Roseville
CA 95678"
08/27/2021,08/30/2021,10/25/2021,Wells Fargo,San Francisco County,1,Layoff Permanent,"420 Montgomery Street San Francisco CA
94104"
08/30/2021,08/30/2021,10/20/2021,Bristol-Myers Squibb and MyoKardia Inc.,San Mateo County,5,Layoff Permanent,1000 Sierra Point Pkwy Brisbane CA 94005
08/27/2021,08/31/2021,10/31/2021,State Farm Mutual Automobile Insurance Company,Kern County,230,Closure Permanent,"900 Old River Road Suite 400 Bakersfield
Operations Center Bakersfield CA 93311"
08/29/2021,08/31/2021,10/30/2021,Best Buy,Los Angeles County,50,Closure Permanent,"740 S. Pacific Coast Hwy El Segundo CA
90245"
08/31/2021,08/31/2021,10/08/2021,Sanofi's Principia Biopharma,San Mateo County,38,Closure Permanent,"220 East Grande Avenue South San
Francisco CA 94080"
09/07/2021,09/07/2021,11/07/2021,Johns Manville,Glenn County,260,Closure Temporary,5916 County Road 49 Willows CA 95988
09/09/2021,09/09/2021,11/10/2021,"Toca Madera Management LLC dba The Madera Group
LLC",Los Angeles County,127,Layoff Permanent,8450 W. 3rd Street Los Angeles CA 90048
09/07/2021,09/09/2021,11/08/2021,The Collected Group,San Bernardino County,94,Layoff Permanent,4775 Eucalyptus Avenue Chino CA 91710
08/30/2021,09/14/2021,11/01/2021,"Flying Food Group, LLC",Los Angeles County,12,Layoff Permanent,901 W. Hillcrest Blvd. Inglewood CA 90301
09/14/2021,09/14/2021,09/14/2021,N2 Imaging Systems LLC,Orange County,30,Closure Permanent,14440 Myford Road Irvine CA 92606
09/14/2021,09/14/2021,09/14/2021,N2 Imaging Systems LLC,Orange County,50,Closure Permanent,14430 Myford Road Irvine CA 92606
09/14/2021,09/14/2021,09/14/2021,N2 Imaging Systems LLC,Orange County,67,Closure Permanent,14341 Chambers Road Tustin CA 92780
09/14/2021,09/14/2021,11/17/2021,allthingsecommerce LLC,Santa Clara County,12,Closure Permanent,"205 East Alma Avenue Warehouse E4 San
Jose CA 95112"
09/15/2021,09/15/2021,12/06/2021,VSPOne San Diego,San Diego County,49,Closure Permanent,2651 La Mirada Drive Vista CA 92081
09/16/2021,09/16/2021,09/30/2021,Bristol-Myers Squibb and MyoKardia Inc.,San Mateo County,4,Layoff Permanent,1000 Sierra Point Pkwy Brisbane CA 94005
09/16/2021,09/16/2021,10/15/2021,Bristol-Myers Squibb and MyoKardia Inc.,San Mateo County,11,Layoff Permanent,1000 Sierra Point Pkwy Brisbane CA 94005
09/16/2021,09/16/2021,10/20/2021,Bristol-Myers Squibb and MyoKardia Inc.,San Mateo County,1,Layoff Permanent,1000 Sierra Point Pkwy Brisbane CA 94005
09/16/2021,09/16/2021,10/29/2021,Bristol-Myers Squibb and MyoKardia Inc.,San Mateo County,4,Layoff Permanent,"1000 Sierra Point Pkwy and MyoKardia Inc.
Brisbane CA 94005"
09/16/2021,09/16/2021,11/07/2021,Bristol-Myers Squibb and MyoKardia Inc.,San Mateo County,30,Layoff Permanent,1000 Sierra Point Pkwy Brisbane CA 94005
09/03/2021,09/21/2021,12/17/2021,"Advanex Americas, Inc.",Orange County,80,Closure Permanent,5780 Cerritos Avenue Cypress CA 90630
09/17/2021,09/21/2021,12/17/2021,"CoorsTek Vista, Inc.",San Diego County,26,Closure Permanent,2055 Thibodo Road Vista CA 92081
09/17/2021,09/21/2021,12/17/2021,"CoorsTek Vista, Inc.",San Diego County,26,Closure Permanent,2025 Thibodo Road Vista CA 92081
09/17/2021,09/21/2021,12/17/2021,"CoorsTek Vista, Inc.",San Diego County,26,Closure Permanent,1960 Watson Way Vista CA 92081
09/17/2021,09/21/2021,12/17/2021,"CoorsTek Vista, Inc.",San Diego County,26,Closure Permanent,2065 Thibodo Road Vista CA 92081
09/15/2021,09/21/2021,11/19/2021,Gate Gourmet,San Francisco County,289,Layoff Not known at this time,"645 West Field Road San Francisco CA
94128"
09/13/2021,09/21/2021,11/01/2021,Flying Food Group,San Mateo County,123,Layoff Not known at this time,"240 LIttlefield Avenue South San Francisco
CA 94080"
09/16/2021,09/23/2021,11/20/2021,Angelica,Fresno County,161,Closure Permanent,422 S. Fruit Avenue Fresno CA 93706
09/14/2021,09/23/2021,11/27/2021,Transform SR LLC,Los Angeles County,10,Closure Permanent,3801 E. Foothill Blvd. Pasadena CA 91107
09/14/2021,09/23/2021,11/14/2021,Transform SR LLC,Los Angeles County,30,Closure Permanent,3801 E. Foothill Blvd. Pasadena CA 91107
09/14/2021,09/23/2021,11/27/2021,Transform SR LLC,Los Angeles County,13,Closure Permanent,500 Stonewood St. Downey CA 90241
09/14/2021,09/23/2021,11/14/2021,Transform SR LLC,Los Angeles County,40,Closure Permanent,500 Stonewood ST. Downey CA 90241
09/13/2021,09/23/2021,11/20/2021,Angelica,Orange County,169,Closure Permanent,1575 N. Case Street Orange CA 92867
09/15/2021,09/23/2021,11/20/2021,Angelica,Sacramento County,117,Closure Permanent,"8360 Belvedere Avenue Sacramento CA
95826"
09/13/2021,09/23/2021,11/20/2021,Angelica,San Bernardino County,117,Closure Permanent,925 S. 8th Street Colton CA 92324
09/17/2021,09/27/2021,11/16/2021,"QX Logistix, LLC",Los Angeles County,61,Closure Permanent,"2815 W. El Segundo Blvd Hawthorne CA
90250"
09/17/2021,09/27/2021,11/25/2021,Jabil Inc.,Santa Clara County,137,Closure Temporary,"6375 San Ignacio Avenue San Jose CA
95119"
09/23/2021,09/28/2021,11/22/2021,Zymergen Inc.,Alameda County,106,Layoff Permanent,"5980 Horton Street Suite 105 Emeryville
CA 94608"
09/17/2021,09/28/2021,11/16/2021,"QX Logistix, LLC",Los Angeles County,28,Closure Permanent,"4841 W. San Fernando Rd Los Angeles CA
90039"
09/17/2021,09/28/2021,11/16/2021,"QX Logistix, LLC",Los Angeles County,89,Closure Permanent,"4187 Temple City Blvd Rosemead CA
91770"
09/17/2021,09/28/2021,11/16/2021,"QX Logistix, LLC",Los Angeles County,29,Closure Permanent,5750 Mesmer Ave Culver City CA 90230
09/15/2021,09/28/2021,11/19/2021,Gate Gourmet,Los Angeles County,247,Layoff Permanent,"6701 W. Imperial Hwy Los Angeles CA
90045"
09/21/2021,09/28/2021,11/21/2021,Panasonic Avionics Corporation,Orange County,3,Layoff Permanent,"26200 Enterprise Way Lake Forest CA
92630"
09/21/2021,09/28/2021,03/31/2022,"GEO Secure Services LLC Western Region Detention
Facility",San Diego County,298,Closure Permanent,220 West C Street San Diego CA 92101
09/23/2021,09/28/2021,11/26/2021,AMR City of San Diego,San Diego County,1,Layoff Permanent,4955 Ruffner Street San Diego CA 92111
09/23/2021,09/28/2021,11/26/2021,MAR City of San Diego,San Diego County,1,Layoff Permanent,"8808 Balboa Avenue #150 San Diego CA
92123"
09/23/2021,09/28/2021,11/26/2021,AMR City of San Diego,San Diego County,1,Layoff Permanent,9601 Ridgehaven Ct. San Diego CA 92123
09/23/2021,09/28/2021,11/26/2021,AMR City of San Diego,San Diego County,1,Layoff Permanent,"3870 Kearney Villa Road San Diego CA
92123"
09/21/2021,09/28/2021,11/19/2021,Wells Fargo,San Francisco County,5,Layoff Permanent,333 Market Street San Francisco CA 94103
09/21/2021,09/28/2021,11/19/2021,Wells Fargo,San Francisco County,9,Layoff Permanent,"550 California Street San Francisco CA
94104"
09/21/2021,09/28/2021,11/19/2021,Wells Fargo,San Francisco County,4,Layoff Permanent,45 Fremont Street San Francisco CA 94105
09/21/2021,09/28/2021,11/19/2021,Wells Fargo,San Francisco County,1,Layoff Permanent,"420 Montgomery Street San Francisco CA
94104"
09/21/2021,09/28/2021,11/19/2021,Wells Fargo,San Francisco County,1,Layoff Permanent,525 Market Street San Francisco CA 94105
09/27/2021,09/29/2021,12/31/2021,"Louis Vuitton USA, Inc",Orange County,16,Closure Permanent,3333 Bristol Street Costa Mesa CA 92626
09/28/2021,09/29/2021,11/30/2021,"Theravance Biopharma US, Inc",San Mateo County,163,Layoff Permanent,"901 Gateway Boulevard South San
Francisco CA 94080"
09/24/2021,09/30/2021,10/26/2021,Cherokee Nation Management & Consulting LLC,Los Angeles County,119,Layoff Permanent,1101 W. McKinley Ave. Pomona CA 91768
09/28/2021,09/30/2021,11/26/2021,Nextgen Leads LLC,San Diego County,36,Closure Permanent,"701 B Street Suite 1255 San Diego CA
92101"
10/01/2021,10/01/2021,12/05/2021,Ingallina&rsquo;s Box Lunch,Los Angeles County,76,Closure Permanent,"1398 Monterey Pass Rd Monterey Park CA
91754"
09/30/2021,10/01/2021,11/30/2021,Panasonic Avionics Corporation,Orange County,4,Layoff Permanent,"26200 Enterprise Way Lake Forest CA
92630"
09/15/2021,10/04/2021,10/26/2021,"Airtight Security Group, Inc.",Los Angeles County,80,Closure Permanent,1101 W. McKinley Ave. Pomona CA 91768
10/01/2021,10/04/2021,11/30/2021,Sun Distributing Company LLC,Los Angeles County,84,Closure Permanent,2815 El Segundo Blvd Hawthorne CA 90250
10/01/2021,10/04/2021,12/01/2021,"Milestone Technologies, Inc",San Mateo County,81,Layoff Permanent,1 Hacker Way Menlo Park CA 94025
09/29/2021,10/06/2021,12/31/2021,Prospect International Airport Services Corporation,San Francisco County,177,Closure Permanent,"San Francisco International Airport IT-A
Courtyard A Rm. 1-I-103G San Francisco
CA 94128"
10/04/2021,10/06/2021,12/06/2021,Ryder,San Joaquin County,132,Closure Permanent,1565 N. MacArthur Drive Tracy CA 95376
10/04/2021,10/06/2021,01/07/2022,Mylan Pharmaceuticals Inc.,San Mateo County,75,Closure Permanent,150 Industrial Road San Carlos CA 94070
09/29/2021,10/07/2021,10/11/2021,"Fresenius Medical Care dba Spectra Laboratories Inc.
and National Medical Care Inc.",Santa Clara County,43,Closure Permanent,525 Sycamore Drive Milpitas CA 95035
09/29/2021,10/07/2021,01/03/2022,"Fresenius Medical Care dba Spectra Laboratories Inc.
and National Medical Care Inc.",Santa Clara County,77,Closure Permanent,525 Sycamore Dr. Milpitas CA 95035
